0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.5182769,0.5132297,0.48073718,0.5135904,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.55182564,0.56010026,0.55597126,0.56537956,0.5807628,0.58001685,0.5105422,0.40000448,0.45367005,0.46034482,0.48558933,0.48779464,0.47700486,0.46896538,0.47123316,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.51816964,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.5650273,0.54920316,0.5451738,0.54813874,0.5476429,0.5704759,0.5556791,0.44511262,0.33764014,0.33553323,0.34354356,0.40107802,0.40854865,0.38221136,0.37889308,0.37046453,0.35688466,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.50735253,0.5400583,0.5029371,0.49789482,0.49949834,0.5115184,0.4768398,0.477434,0.42244765,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.50482714,0.51737547,0.53140044,0.47904766,0.4434979,0.46327335,0.4362837,0.35090756,0.33745748,0.3318131,0.32342184,0.32245088,0.35684833,0.34919456,0.3460535,0.35390088,0.3177442,0.32822043,0.39130732,0.4712093,0.37667727,0.3122645,0.32134598,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.5215081,0.5637171,0.5060185,0.45334637,0.4741663,0.52192616,0.50102943,0.47556362,0.5062439,0.52738315,0.5369206,0.5387144,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.43626893,0.43903452,0.35503134,0.3084582,0.33708513,0.35755014,0.36506933,0.34739128,0.34226513,0.37415615,0.33779448,0.39547378,0.36132488,0.34818655,0.35621792,0.32771444,0.3038168,0.29694164,0.31386834,0.32788894,0.2984138,0.33182,0.3783748,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.52285075,0.5338618,0.501992,0.47742903,0.50539094,0.52548563,0.5406211,0.5222871,0.51562184,0.5180266,0.51631695,0.5132723,0.4948846,0.51470256,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.46310315,0.3633349,0.3365863,0.29580626,0.35754994,0.37151313,0.36497897,0.35131794,0.362788,0.3787378,0.35606033,0.3552184,0.36087307,0.3548872,0.31714168,0.3126523,0.28057998,0.30388647,0.33556944,0.3135533,0.31027654,0.35229975,0.3449491,0.43148994,0.47197828,0.50933164,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.5165297,0.4879967,0.48549938,0.47258842,0.4742963,0.5011314,0.5407356,0.5535338,0.52647704,0.43473417,0.44297916,0.49999398,0.49265265,0.47195256,0.5202384,0.51767486,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.42040965,0.41851288,0.5038016,0.42581743,0.38360572,0.404959,0.38910475,0.37202433,0.39180833,0.39600855,0.39831626,0.36814332,0.35388878,0.32688746,0.35946098,0.3089189,0.26677096,0.28907236,0.29752538,0.3083244,0.32163706,0.29863992,0.33326393,0.4295064,0.52753973,0.5760779,0.55093473,0.5577501,0.56389946,0.567409,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.5185403,0.49641874,0.45872173,0.42459667,0.41359073,0.4574671,0.4944441,0.5337174,0.53729784,0.40463573,0.36484522,0.46753997,0.4868304,0.45898074,0.49551734,0.5006568,0.5218473,0.5210026,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.50921315,0.47098088,0.4876148,0.460458,0.3072487,0.38669574,0.5161793,0.40754727,0.38090193,0.4355442,0.43932247,0.4221027,0.38172644,0.3638473,0.37839052,0.37458932,0.34657186,0.32153052,0.3280867,0.33880267,0.2925616,0.32767203,0.31914392,0.3204518,0.30359375,0.28917602,0.31354037,0.4447614,0.5162678,0.5357933,0.55955374,0.57759535,0.5745757,0.532995,0.5035975,0.52107584,0.5150512,0.55535734,0.5581107,0.5427161,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
0.18181819,0.18181819,0.18181819,0.18181819,0.48116976,0.5065954,0.47322944,0.42595997,0.3848317,0.38782716,0.375428,0.4293848,0.5073722,0.53137904,0.43298,0.40317383,0.4294502,0.47793648,0.49829742,0.44897968,0.46775535,0.50569314,0.49228337,0.47206286,0.45346698,0.46470842,0.483525,0.4707998,0.21428956,0.14215805,0.18181819,0.18181819,0.18181819,0.46996608,0.45654503,0.45860174,0.42335027,0.4293135,0.43592548,0.32830653,0.37274784,0.4433673,0.34052882,0.36320642,0.43833554,0.46427786,0.48515737,0.43789598,0.38660353,0.37282944,0.3549752,0.33310604,0.29686365,0.30144638,0.2990709,0.3195113,0.35440373,0.33512166,0.3279551,0.32206443,0.36421868,0.37471765,0.48591012,0.5278862,0.5449887,0.561302,0.5738558,0.53947425,0.51465374,0.5058782,0.4970059,0.53407997,0.55736953,0.55360633,0.5393855,0.53275186,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819
